	NH3		He		Ne		Ar
6.32E-4	0.0625062532713592	5.32E-4	0.0310265115217168	7.32E-4	0.129291451955202	9.32E-4	0.259728323856646
6.3E-4	0.064626843628394	5.3E-4	0.032798266552896	7.3E-4	0.132620287004796	9.3E-4	0.268260212253295
6.28E-4	0.0661860011479037	5.28E-4	0.0347817386401839	7.28E-4	0.138457896425488	9.28E-4	0.275375017819138
6.26E-4	0.0675291620759012	5.26E-4	0.0353339490028664	7.26E-4	0.141429775958199	9.26E-4	0.272133291875028
6.24E-4	0.0705495624179388	5.24E-4	0.03718092032222	7.24E-4	0.143921388474697	9.24E-4	0.273698763786723
6.22E-4	0.0739556353962264	5.22E-4	0.0381303577021264	7.22E-4	0.146205025706699	9.22E-4	0.276784857454241
6.2E-4	0.0750679901988679	5.2E-4	0.0390993000690252	7.2E-4	0.152316940448217	9.2E-4	0.279850173412933
6.18E-4	0.076489008611704	5.18E-4	0.0393138795074638	7.18E-4	0.158320582760227	9.18E-4	0.282278085225317
6.16E-4	0.0774835778911845	5.16E-4	0.0403413450291804	7.16E-4	0.160409956688764	9.16E-4	0.289479674227655
6.14E-4	0.0783424872527039	5.14E-4	0.041755025954152	7.14E-4	0.163603831242032	9.14E-4	0.297832546993287
6.12E-4	0.0797158872910687	5.12E-4	0.0434712854553393	7.12E-4	0.16976062253151	9.12E-4	0.306084731898458
6.1E-4	0.0787786752002509	5.1E-4	0.0452555110596774	7.1E-4	0.174725073963487	9.1E-4	0.316768870945158
6.08E-4	0.0803955561990805	5.08E-4	0.0465210054315911	7.08E-4	0.181963222120433	9.08E-4	0.325866028776002
6.06E-4	0.0816470370309418	5.06E-4	0.0496690601675747	7.06E-4	0.184119354965669	9.06E-4	0.330400314070459
6.04E-4	0.0835375316504485	5.04E-4	0.0513521578222944	7.04E-4	0.18621028741426	9.04E-4	0.342410023740463
6.02E-4	0.0859828189354752	5.02E-4	0.0548871467436105	7.02E-4	0.19047265588515	9.02E-4	0.345717303969292
6E-4	0.0877836247837566	5E-4	0.0572115505080506	7E-4	0.197349617454131	9E-4	0.347678818290402
5.98E-4	0.0880426641607819	4.98E-4	0.0610446282350748	6.98E-4	0.201016611474556	8.98E-4	0.351080355854367
5.96E-4	0.0885889042831903	4.96E-4	0.0645824881877793	6.96E-4	0.209878003312565	8.96E-4	0.353925594344385
5.94E-4	0.0911468115093197	4.94E-4	0.0684941453201308	6.94E-4	0.209856775726011	8.94E-4	0.362450846008959
5.92E-4	0.0915475423249733	4.92E-4	0.0711224432277281	6.92E-4	0.220309318558468	8.92E-4	0.365616106898726
5.9E-4	0.0946100103141274	4.9E-4	0.0719572246239571	6.9E-4	0.224985554412243	8.9E-4	0.364591720827295
5.88E-4	0.0935326045501216	4.88E-4	0.0741813453149912	6.88E-4	0.233319819770157	8.88E-4	0.369507823371592
5.86E-4	0.0952545817032181	4.86E-4	0.0778248953667636	6.86E-4	0.240175665429975	8.86E-4	0.376901381738911
5.84E-4	0.0956900926513597	4.84E-4	0.0832725169647575	6.84E-4	0.246795886877521	8.84E-4	0.386750517628335
5.82E-4	0.0954138635386368	4.82E-4	0.0858744985261309	6.82E-4	0.254691325543064	8.82E-4	0.39409998586164
5.8E-4	0.0954194278177641	4.8E-4	0.0885873582545527	6.8E-4	0.266063546420276	8.8E-4	0.406171419726652
5.78E-4	0.0962074019004326	4.78E-4	0.0921725053278634	6.78E-4	0.275838023200674	8.78E-4	0.411984932865944
